Positive Words,Negative Words
divinity,depreciation
dominance,depress
donate,depression
donation,deprive
dote,deride
doubtless,derision
dreamland,derisive
durability,derogatory
durable,desert
dynamic,desertion
eager,desire
eagerness,desolate
earnest,desolation
earnestness,despair
ease,desperate
easy,desperation
economize,despicable
ecstasy,despise
ecstatic,destitute
edible,destroy
educated,destruction
education,destructive
educational,detachment
effective,detain
effectiveness,deter
efficacy,deterrent
efficiency,detest
efficient,detestable
elaborate,detract
elaboration,detrimental
elate,devastate
elegance,devastation
elegant,deviate
eloquent,deviation
embellish,devil
embrace,devilish
eminence,devious
eminent,devoid
empathy,diabolic
empower,diabolical
empowerment,dictate
enable,dictatorial
enchant,differ
enchantment,difficult
encourage,difficulty
encouragement,dilemma
endear,dim
endorse,din
endow,dire
endurance,dirt
energetic,dirty
energize,disable
engage,disadvantage
enhance,disadvantageous
enhancement,disagreeable
enjoy,disagreement
enjoyable,disappoint
enjoyment,disappointment
enlighten,disapproval
enlightenment,disapprove
enrich,disarm
enrichment,disaster
ensemble,disastrous
ensure,disavow
entertain,disavowal
entertainment,disbelief
enthusiasm,discharge
enthusiastic,disclaim
entrepreneurial,discomfort
entrust,disconcerted
envision,discontent
equality,discord
equitable,discordant
equity,discourage
essential,discouragement
establish,discredit
esteem,discrepant
ethical,discriminate
ethics,disdain
etiquette,disease
even,diseased
everlasting,disgrace
exact,disguise
exalt,disgust
excel,dishearten
excellence,dishonest
excellent,dishonor
excite,disingenuous
excited,disinterest
excitedness,dislike
excitement,dismal
exertion,dismiss
exhilaration,disobedience
exotic,disobedient
experience,disorder
expert,disorganized
exquisite,dispel
extol,dispensability
extraordinary,dispense
extravagance,displace
exuberance,displease
exuberant,displeasure
exult,disposal
exultation,dispose
eye,disproportionate
fabulous,disprove
facilitate,disputable
factual,dispute
fair,disregard
fairness,disrupt
faith,disruption
faithful,dissatisfaction
faithfulness,dissatisfied
fame,dissatisfy
familiar,dissent
familiarity,dissention
familiarize,dissolution
famous,distort
fancy,distortion
fantastic,distract
fantasy,distracting
farsighted,distraction
fascination,distress
fashionable,distrustful
favor,disturb
favorable,disturbance
favorite,diversion
fearless,divert
feasible,divide
feast,division
fellow,divorce
fellowship,dizzy
fertile,doldrums
fervent,dominate
fervor,domination
festival,doom
festive,doomsday
festivity,dope
fidelity,double
fiery,doubt
filial,doubtful
fill,downcast
fine,downfall
firmness,downhearted
fit,drab
fitness,drag
flair,dread
flashy,dreadful
flatter,dreary
flattery,drive
flaunt,droop
flawless,drop
flexible,drought
flirt,drown
flourish,drowsiness
fluent,drowsy
fond,drunk
fondness,drunkard
foremost,drunken
foresight,dubious
forgave,dull
forgive,dumb
forgiven,dump
forgiveness,dunce
formality,dungeon
fortify,duty
fortitude,dwindle
fortunate,dying
forward,eccentric
foster,eccentricity
fragrant,edge
frank,egotistical
free,eliminate
freedom,elimination
fresh,embarrass
friend,embarrassment
friendly,emergency
friendship,empty
frolic,encroach
frugal,encroachment
fruitful,endanger
fruition,enemy
fulfill,enforce
fulfillment,engulf
fullness,enrage
fun,enslave
funny,entangle
gaiety,entanglement
gaily,entreat
gain,envious
gallant,envy
gallantry,epidemic
game,epithet
garnish,equivocal
gay,eradicate
generate,erase
generosity,erode
generous,erosion
genial,err
genius,erroneous
gentle,error
genuine,esoteric
giddy,estranged
gift,evade
gifted,evasion
give,even
glad,evict
gladden,evil
gladness,exaggeration
glamorous,exasperate
glamour,exasperation
gleam,exception
glean,excess
glee,excessive
glimmer,exclude
glisten,exclusion
glitter,excommunication
glorify,execute
glorious,exempt
glory,exhaust
glossy,exhaustion
glow,exile
godlike,exit
godliness,expedient
gold,expel
golden,expense
good,expensive
goodbye,explode
goodness,exploit
gorgeous,explosion
grace,explosive
graceful,expose
gracious,exterminate
graduation,extermination
grand,extinct
grandeur,extinguish
grateful,extravagant
gratification,fabricate
gratify,fabrication
gratitude,fail
great,failure
greatness,faint
greet,fake
groom,fall
guarantee,fallacy
guardian,fallout
guide,false
gusto,falsehood
hallowed,falter
hand,famine
handsome,famished
handy,fanatic
happiness,fanatical
happy,farce
hardy,fascist
harmless,fat
harmonious,fatal
harmonize,fatalistic
harmony,fatigue
harness,fault
haven,fear
heal,fearful
health,fearsome
healthful,fed
healthy,feeble
heart,feign
heartily,feint
heaven,ferocious
heavenly,ferocity
help,feud
helpful,feudal
hero,fever
heroic,feverish
heroine,fiasco
heroism,fickle
highlight,fidget
hilarious,fiend
hit,fierce
holy,fight
homage,fighter
home,filth
honest,filthy
honeymoon,fine
honor,fire
honorable,fist
hope,fix
hopeful,flagrant
hospitable,flaw
hug,fled
human,flee
humanitarian,fleeting
humanity,flimsy
humble,floor
humility,flounder
humor,foe
humorous,foible
hygiene,fool
ideal,foolish
idealism,foolishness
idol,forbid
idolize,forbidden
illuminate,force
illustrious,foreboding
imagination,foreign
imaginative,forfeit
immaculate,forgetfulness
immortal,forlorn
impartial,formidable
impartiality,forsake
imperative,fought
impervious,founder
impetus,fracture
importance,fragile
important,frantic
impress,frantically
impressive,fraud
improve,fraudulent
improvement,fraught
impunity,freak
inaugurate,fret
inauguration,fretful
independence,frighten
independent,frightful
indescribable,frigid
indicative,frivolous
indispensability,front
indispensable,frown
individuality,fruitless
indomitable,frustrate
indulgence,frustration
industrious,fugitive
inexpensive,fumble
infallibility,fun
infallible,furious
infer,fury
inference,fuss
inform,fussy
ingenious,futility
ingenuity,gall
inherit,gamble
innocence,gash
innocent,gaudy
innovate,germ
innovative,get
inquisitive,ghastly
inseparable,ghetto
insight,glare
insistent,gloat
inspiration,gloom
inspirational,gloomy
inspire,glum
instinctive,goddamn
integrity,grab
intellect,grapple
intellectual,gratuitous
intelligence,grave
intelligent,grief
intelligible,grievance
intercede,grieve
intercourse,grim
interest,grizzly
interested,grotesque
interpose,growl
intimacy,grudge
intimate,gruff
intricate,grumble
intrigue,guerrilla
invaluable,guilt
inventor,guilty
invincible,guise
invitation,gullible
invite,gun
invulnerable,gunmen
irresistible,hack
jest,hackney
join,hag
jointly,haggard
joke,hamper
jolly,hand
joy,handicap
joyful,hang
jubilant,haphazard
jubilee,hapless
just,harass
justice,harassment
justifiably,hard
justification,hardship
justify,harm
keen,harmful
kid,harsh
kind,hassle
kindness,hate
kiss,hater
know,hatred
knowledge,haughty
laudable,haunt
laugh,havoc
laughter,hazard
lavish,hazardous
law,haziness
lawful,hazy
lead,headache
learn,heartless
learner,hectic
legal,hedge
legitimacy,hedonistic
legitimate,heedless
leisure,heinous
liberal,hell
liberalism,help
liberate,helpless
liberty,helplessness
lifelong,hideous
light,hinder
likable,hindrance
like,hit
live,hoard
lively,hobble
logic,hole
logical,hollow
longevity,homely
love,hopeless
loveliness,horde
lovely,horn
lover,horrible
loyal,horrid
loyalty,horrify
lucid,horror
luck,hostile
luckily,hostility
lucky,hot
lucrative,humiliate
luminous,humiliation
lust,hung
luster,hunger
lustrous,hungry
luxuriant,hunt
luxurious,hunter
luxury,hurt
lyric,hurtful
lyrical,hustle
magical,hustler
magnetic,hypocrisy
magnificence,hypocrite
magnificent,hysteria
main,hysterical
majestic,idiot
majesty,idiotic
major,idleness
make,ignoble
manageable,ignorance
manly,ignorant
marital,ill
marriage,illegal
marry,illegality
marvel,illiterate
marvelous,illness
masterful,illogical
mastery,immature
matchless,immobility
mate,immoral
matter,immorality
mature,immovable
maturity,impair
maximize,impasse
meaningful,impatience
measurable,impatient
mediate,impede
meditation,impediment
meet,imperfect
mellow,impersonal
melody,impetuous
memorable,implicate
mend,implore
mentor,impose
merciful,imprecision
mercy,imprison
merit,imprisonment
meritorious,improper
merrily,impulsive
merriment,impure
merry,impurity
mesh,inability
meticulous,inaccessible
mighty,inaccuracy
mild,inadequate
mind,inane
mindful,incapable
minister,incessant
mint,incompatibility
miracle,incompatible
miraculous,incompetence
mirth,incompetent
mobility,inconsistency
mobilize,inconvenient
moderate,incorrect
moderation,incredible
modernity,incurable
modest,indecent
modesty,indefinite
momentous,indeterminable
monumental,indeterminate
moral,indictment
morale,indifference
moralistic,indifferent
morality,indignation
motivate,indulge
motivated,ineffective
motivation,ineffectiveness
motive,ineffectual
multitude,ineffectualness
mutual,inefficiency
myriad,inequality
natural,inexact
navigable,inexplicable
neat,infamous
necessarily,infect
negotiate,infection
nice,inferior
niche,inferiority
nimble,infest
nobility,infiltration
noble,inflame
nobleman,inflation
noiseless,inflict
nominate,infraction
non-violence,infringement
non-violent,infuriate
normal,ingratitude
notable,inhibit
notoriety,inhibition
nourish,inhumane
nourishment,injunction
novelty,injure
nurse,injurious
nurture,injury
nutrient,insane
oasis,insecure
obedience,insecurity
obedient,insensible
obey,insidious
objective,insignificant
oblige,insinuate
obtain,insolence
obtainable,insolent
offer,instability
offset,instable
onset,insufficiency
onward,insufficient
open,insult
opportune,interfere
opportunity,interference
optimal,interrupt
optimism,interruption
optimistic,intervention
optional,intimidate
order,intolerable
organize,intoxicate
originality,intrude
outgoing,intruder
outlive,intrusion
outright,inundate
outrun,inundated
outset,invade
outstanding,invalid
outwit,invisible
overcome,involuntary
overjoyed,involve
painstaking,irk
palatable,iron
palatial,ironic
pamper,irony
paradise,irrational
paramount,irregular
pardon,irregularity
particular,irresponsible
partner,irritable
partnership,irritation
pass,isolate
passionate,jail
patience,jar
patient,jeer
patriot,jeopardize
patriotic,jeopardy
patron,jerk
patronage,jittery
pay,jobless
peace,jumpy
peaceable,junk
peaceful,kick
peerless,kidnap
perfect,kill
perfection,killer
perfectionism,knife
perfectionist,knock
perfume,lack
permission,lag
permit,laid
perseverance,lame
persevere,lament
persuasive,lamentable
pertinent,languish
picturesque,lapse
piety,laugh
pinnacle,lawless
pious,lay
plain,lazily
plausibility,lazy
playful,leak
playmate,leakage
plaything,let
pleasant,liability
pleasantry,liable
please,liar
pleased,lie
pleasurable,lifeless
pleasure,limit
pledge,limitation
plentiful,limp
plenty,liquidate
poetic,liquidation
poignant,litter
poise,load
polish,lone
polite,loneliness
politeness,lonely
pomp,loner
popular,lonesome
popularity,loom
populous,lose
portable,loser
positive,loss
positiveness,lost
positivity,loveless
posterity,low
potency,lower
potent,lowly
practicable,ludicrous
practical,lull
praise,lunatic
prance,lure
precaution,lurk
precedent,lying
precept,mad
precious,madman
precise,madness
precision,make
preeminent,maladjusted
preference,maladjustment
premier,malady
premise,malice
premium,malicious
preparatory,malignant
prestige,mangle
prettily,manipulate
pretty,manipulation
priceless,manslaughter
pride,mar
primarily,marginal
prime,massacre
principal,matter
principle,meager
privacy,mean
privileged,meaningless
privy,meddle
prize,mediocre
pro,meek
proactive,melancholy
prodigious,melodramatic
prodigy,menace
productive,menial
productivity,merciless
profess,mess
proffer,mind
proficient,mine
profit,misbehave
profitable,misbehavior
profound,mischief
progress,mischievous
progressive,miser
prolific,miserable
prominence,misery
prominent,misfortune
promise,mishandle
prompt,mishap
promptly,misinform
proper,misinformed
propitious,mislead
proprietary,misrepresent
propriety,miss
prosecute,mistake
prosper,mistaken
prosperity,mistrust
prosperous,misunderstand
protect,misunderstanding
protection,misunderstood
protective,misuse
protector,mix
proud,moan
provide,mock
providence,mockery
prowess,molest
prudence,monotonous
prudent,monotony
punctual,monster
pure,monstrous
purification,moody
purify,mortify
purity,motionless
purposeful,motley
purr,mourn
quaint,mourner
qualify,muddle
quality,muddy
quench,mumble
quicken,mundane
radiance,murder
radiant,murderous
radiate,murky
rally,mutter
rapport,myself>
rapt,nag
rapture,naive
rational,nasty
rave,naughty
readily,nebulous
real,need
realistic,needle
realistically,needy
reap,negate
reasonable,negation
reassurance,negative
reassure,neglect
receptive,negligence
reclaim,negligent
recline,nervous
recompense,nervousness
reconcile,neurotic
reconciliation,neutralize
recreation,nightmare
redeem,nix
redemption,noise
reestablish,nonchalant
refine,nonsense
refinement,nosey
refuge,notorious
regal,novice
regard,nuisance
rehabilitation,nullification
reinforcement,nullify
reinstate,numb
rejoice,nuts
relaxation,object
relevance,objection
relevancy,oblique
relevant,obliterate
reliability,obnoxious
reliable,obscure
relief,obsolete
relieve,obstacle
religious,obstinate
relish,obstruct
remarkable,obstruction
remarkably,odd
remedy,oddity
remodel,offend
renaissance,offender
renewal,offensive
renovate,ominous
renovation,omission
renown,omit
repair,opinionated
reparation,opponent
repent,oppose
repentance,opposition
repose,oppress
reputable,oppression
rescue,oppressive
resolute,ordeal
resolve,order
resolved,orphan
resound,ostracize
resourceful,oust
resourcefulness,outbreak
respect,outburst
respectable,outcast
respectful,outcry
respite,outlaw
resplendent,outrage
responsibility,outrageous
responsible,outsider
responsive,overbearing
restful,overflow
restoration,overlook
restore,overpower
resurrect,overrun
return,oversight
reunion,overthrow
reunite,overturn
revel,overwhelming
revelation,overworked
revere,owe
reverence,pain
reverent,painful
reverently,paltry
revitalize,pandemonium
revival,panic
revive,paralysis
reward,paralyzed
rich,paranoid
riches,parasite
richness,particular
right,partition
righteous,pass
righteousness,passe
rightful,pathetic
ripe,patronize
ripen,peculiar
robust,peril
romance,perilous
romantic,perish
romanticize,perplex
rosy,perplexity
round,persecute
rouse,persecution
sacred,perturb
safe,perverse
safeguard,pervert
safety,pessimism
sagacity,pessimistic
sage,pest
saint,petty
salutary,phobia
salutation,pick
salute,piece
salvation,pinch
sanctify,pitiful
sanctuary,pitiless
sane,plague
sanguine,plaintiff
sanitary,plight
sanity,plod
satisfaction,plot
satisfactorily,point
satisfactory,pointless
satisfy,poison
save,poisonous
savings,pollute
savor,pollution
savvy,pompous
scamper,poor
scruples,pound
scrupulous,pout
secure,poverty
security,powerless
selective,precarious
self-contained,precipitate
self-respect,predicament
semblance,prejudice
sensational,prejudicial
sense,preposterous
sensible,press
sensitive,presumptuous
sensitivity,pretend
serene,pretense
serious,pretentious
seriousness,prison
settle,prisoner
share,problem
shelter,procrastinate
shield,procrastination
shiny,prod
shrewd,prohibit
shrewdness,prohibition
significance,prohibitive
significant,propaganda
signify,prosecution
simplicity,protest
simplify,provocation
sincere,provoke
sincerity,prowl
skill,pry
skillful,punch
sleek,punish
smart,puny
smile,push
smitten,puzzlement
sober,qualm
sociable,quandary
softness,quarrel
solace,quarrelsome
solution,queer
soothe,questionable
sophisticated,quibble
sought,quit
sound,quitter
soundness,race
spare,radical
sparkle,rage
special,raid
spectacular,raise
speedily,ramble
splendid,rampant
splendor,rascal
spotless,rash
sprightly,rat
squarely,ration
stability,rattle
stabilize,ravage
stable,reactionary
stand,reactive
standardize,rebel
staple,rebellion
stately,rebellious
statuesque,rebuff
staunch,rebuke
staunchness,rebut
steadfast,recalcitrant
steadfastness,recede
steadiness,recession
steady,reckless
stimulate,recklessness
stimulation,recoil
stood,redundancy
straight,redundant
straightforward,refrain
strut,refugee
stud,refusal
studious,refuse
stupendous,regardless
sturdy,regress
stylish,regression
suave,regret
sublime,regrettable
subscribe,reject
subscription,rejection
subsidize,relapse
subsidy,reluctant
subsist,remorse
subsistence,renounce
substantiate,renunciation
subtle,repeal
succeed,reprehensible
success,repress
successful,reproach
suffice,repudiate
sufficient,repugnant
suit,repulse
suitable,repulsive
summit,resent
sumptuous,resentful
super,resentment
superior,resignation
superiority,restless
superlative,restlessness
support,restrict
supportive,restriction
supreme,retaliate
surge,retard
surmise,retire
surmount,retreat
surpass,revenge
survival,revert
survive,revoke
survivor,revolt
sweet,revolution
sweeten,rid
sweetheart,ride
sweetness,ridicule
swiftness,ridiculous
swoon,rigid
sworn,rigor
symbolize,rigorous
symmetry,rip
sympathetic,risky
sympathize,rival
sympathy,rivalry
synthesis,robber
tact,robbery
tactics,rogue
talent,root
talented,rot
taste,rotten
temperance,rough
temperate,roughness
tempt,roundabout
tenacious,rubbish
tenacity,rude
tenderness,rue
terrific,ruffian
thank,ruin
thankful,ruinous
therapeutic,rumor
thorough,rumple
thoughtful,run
thoughtfulness,runaway
thrift,rupture
thrifty,rusty
thrill,ruthless
thrive,ruthlessness
tingle,sabotage
togetherness,sad
tolerance,sadness
tolerant,sag
tolerate,sank
toleration,sap
topmost,sarcasm
tradition,sarcastic
traditional,savage
train,scald
tranquil,scandal
tranquility,scandalous
travel,scapegoat
treasure,scar
treat,scarcity
treatise,scare
treaty,scared
tremendous,scary
tribute,scheme
triumph,scoff
triumphal,scold
triumphant,scorch
trophy,scorn
true,scornful
trust,scoundrel
trustworthiness,scowl
trustworthy,scrape
truth,scream
truthful,screech
unbound,screw
unbroken,scrutinize
uncommon,scuffle
understand,scum
understandable,secede
understood,secession
undoubted,secrecy
undoubtedly,secret
unforgettable,sedentary
unhurried,seethe
unimpeachable,segregation
unique,seize
unity,selfish
unlimited,selfishness
unselfish,senile
untouched,senseless
upbeat,sentence
upfront,sequester
upgrade,serve
upheld,service
uphold,servitude
uplift,sever
uppermost,severe
upright,severity
upside,shabby
upward,shadow
usable,shady
useful,shaggy
usefulness,shake
utilitarian,shallow
utilization,shame
utilize,shameful
uttermost,shameless
valiant,shark
valid,shell
validity,shipwreck
valor,shirk
valuable,shiver
value,shock
vanquish,shoddy
vastness,shoot
venerable,short
venerate,shortage
verification,shortcoming
verify,shortsighted
veritable,shot
versatile,shove
versatility,show
viability,shred
viable,shrew
victorious,shriek
vigilance,shrill
vigilant,shrivel
virtue,shroud
virtuous,shrug
visionary,shun
visualization,shyness
vitality,sick
vivacious,sickly
vivid,sickness
voluntary,siege
vouchsafe,silly
warm,simplistic
warmhearted,sin
warmth,sinful
welcome,sinister
welfare,skeptical
well,sketchy
whimsical,skirmish
wholesome,skulk
willful,slam
willing,slander
willingness,slanderer
wisdom,slanderous
wise,slap
witty,slash
wonder,slaughter
wonderful,slayer
wondrous,sleazy
woo,sleepless
workable,slight
workmanship,slime
world-famous,sloppy
worth,sloth
worth-while,slothful
worthiness,slug
worthy,sluggish
zenith,slump
zest,sly
,smack
,smash
,smear
,smother
,smuggle
,snare
,snarl
,snatch
,sneak
,sneer
,snore
,sob
,somber
,sore
,soreness
,sorrow
,sorrowful
,sorry
,sort
,sour
,spank
,spear
,spill
,spinster
,spite
,spiteful
,split
,spoil
,spot
,sprain
,sputter
,squander
,stab
,stagnant
,stain
,stale
,stalemate
,stammer
,stamp
,standstill
,stark
,startle
,starvation
,starve
,static
,steal
,stern
,stick
,stifle
,stigma
,sting
,stink
,stole
,stolen
,storm
,stormy
,straggle
,straggler
,strain
,strangle
,stray
,stress
,stricken
,strict
,strife
,strike
,stringent
,struck
,struggle
,stubborn
,stubbornly
,stubbornness
,study
,stuffy
,stunt
,stupid
,stupidity
,stupor
,subjection
,subjugate
,subjugation
,submissive
,subservience
,subside
,substitution
,subtract
,subversion
,subvert
,succumb
,sucker
,suffer
,sufferer
,suffocate
,sullen
,sunder
,superficial
,superficiality
,superfluous
,superstition
,superstitious
,suppress
,suppression
,susceptible
,suspect
,suspend
,suspension
,suspicion
,suspicious
,swear
,swore
,symptom
,taboo
,taint
,tamper
,tantrum
,tardy
,tariff
,tatter
,taunt
,tax
,tear
,tease
,tedious
,temper
,tempest
,temporarily
,temptation
,tense
,tension
,terrible
,terrify
,terror
,terrorism
,terrorize
,theft
,thief
,thirst
,thirsty
,thorny
,thoughtless
,thrash
,threat
,threaten
,throw
,thud
,thwart
,timidity
,tire
,tired
,tiresome
,toil
,tolerable
,too
,topple
,torment
,torrent
,torturous
,touchy
,tragedy
,tragic
,traitor
,tramp
,trample
,transgress
,trap
,trauma
,traumatic
,treacherous
,treachery
,treason
,treasonous
,trespass
,trick
,trivial
,trouble
,troublesome
,truant
,trudge
,try
,turbulent
,turmoil
,turn
,twitch
,tyranny
,ugly
,ultimatum
,unaccustomed
,unarm
,unattractive
,unauthentic
,unavoidable
,unbearable
,unbelievable
,uncivil
,unclean
,unclear
,uncomfortable
,uncouth
,undependability
,undependable
,undermine
,underworld
,undesirable
,undid
,undignified
,undo
,undone
,undue
,uneasiness
,uneasy
,uneconomical
,unemployed
,unequal
,uneven
,unexpectedly
,unfair
,unfaithful
,unfamiliar
,unfavorable
,unfeeling
,unfit
,unforeseen
,unfortunate
,unfriendly
,ungrateful
,unguarded
,unhappiness
,unhappy
,unhealthy
,unimportant
,uninformed
,unjust
,unjustified
,unkind
,unlawful
,unlucky
,unmoved
,unnatural
,unnecessary
,unnerve
,unnoticed
,unobserved
,unpleasant
,unpopular
,unprofitable
,unqualified
,unreasonable
,unreliability
,unreliable
,unrest
,unruly
,unsafe
,unsatisfactory
,unscrupulous
,unseen
,unsettling
,unsound
,unspeakable
,unstable
,unsteadiness
,unsteady
,unsuccessful
,untimely
,untrained
,untrue
,untrustworthy
,untruth
,unwilling
,unwillingness
,unwise
,unworthy
,upheaval
,uprising
,uproar
,uproot
,upset
,useless
,usurp
,utterance
,vagabond
,vagrant
,vague
,vagueness
,vain
